book_name,chapter_number,chapter_title,chapter_year,scene_id,scene_location,scene_time,dialogue_text,dialogue_speaker,dialogue_addressees,dialogue_listeners,dialogue_mentions,dialogue_about_characters,dialogue_word_count,dialogue_sentiment,dialogue_bechdel_pass
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,We should start back. The wildlings are dead.,"{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros'}","[{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen', 'intention': 'Neutral'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]",[],[],8,-0.1,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,Do the dead frighten you?,"{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen'}","[{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros', 'intention': 'Neutral'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]",[],[],5,-0.2,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,Dead is dead. We have no business with the dead.,"{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros'}","[{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen', 'intention': 'Neutral'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]",[],[],10,-0.20000000000000004,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,Are they dead? What proof have we?,"{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen'}","[{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros', 'intention': 'Neutral'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]",[],[],7,-0.2,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,"Will saw them. If he says they are dead, that's proof enough for me.","{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros'}","[{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen', 'intention': 'Neutral'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen', 'intention': 'Neutral'}]",14,-0.1,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,My mother told me that dead men sing no songs.,"{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}","[{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros', 'intention': 'Neutral'}, {'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen', 'intention': 'Neutral'}]",[],[],"[{'name': ""Unknown (Will's Mother)"", 'house(s)': None, 'title(s)': None, 'gender': 'Female', 'age': None, 'culture': None, 'intention': 'Neutral'}]",10,-0.2,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,"My wet nurse said the same thing, Will. Never believe anything you hear at a woman's tit. There are things to be learned even from the dead.","{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen'}","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen', 'intention': 'Neutral'}]","[{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros'}]",[],"[{'name': ""Unknown (Waymar Royce's Wet Nurse)"", 'house(s)': None, 'title(s)': None, 'gender': 'Female', 'age': None, 'culture': None, 'intention': 'Neutral'}]",27,-0.10000000000000002,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,"We have a long ride before us, eight days, maybe nine. And night is falling.","{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros'}","[{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen', 'intention': 'Neutral'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]",[],[],15,-0.05,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,"It does that every day about this time. Are you unmanned by the dark, Gared?","{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen'}","[{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros', 'intention': 'Negative'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]",[],[],15,-0.15,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,"Mormont said as we should track them, and we did. They're dead. They shan't trouble us no more. There's hard riding before us. I don't like this weather. If it snows, we could be a fortnight getting back, and snow's the best we can hope for. Ever seen an ice storm, my lord?","{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros'}","[{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen', 'intention': 'Neutral'}]","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen'}]","[{'name': 'Jeor Mormont', 'house(s)': ['Mormont'], 'title(s)': ['Lord Commander'], 'gender': 'Male', 'age': '51 - 60', 'culture': 'Northmen'}]","[{'name': 'Jeor Mormont', 'house(s)': ['Mormont'], 'title(s)': ['Lord Commander'], 'gender': 'Male', 'age': '51 - 60', 'culture': 'Northmen', 'intention': 'Neutral'}]",53,0.009722222222222224,False
A Game of Thrones,0,Prologue,297,0,The Haunted Forest,Evening,"Tell me again what you saw, Will. All the details. Leave nothing out.","{'name': 'Waymar Royce', 'house(s)': ['Royce'], 'title(s)': ['Ser'], 'gender': 'Male', 'age': '11 - 20', 'culture': 'Valemen'}","[{'name': 'Will', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': None, 'culture': 'Rivermen', 'intention': 'Neutral'}]","[{'name': 'Gared', 'house(s)': None, 'title(s)': None, 'gender': 'Male', 'age': '51 - 60', 'culture': 'Westeros'}]",[],[],13,0.0,False
